"TIME","GEO","UNIT","INDIC_EN","Value"
"2007","European Union (current composition)","Percentage","Share of renewable energy in gross final energy consumption","10,5"
"2007","European Union (current composition)","Percentage","Share of renewable energy in transport","3,1"
"2007","European Union (current composition)","Percentage","Share of renewable energy in electricity","16,1"
"2007","European Union (current composition)","Percentage","Share of renewable energy in heating and cooling","12,9"
"2007","Belgium","Percentage","Share of renewable energy in gross final energy consumption","3,1"
"2007","Belgium","Percentage","Share of renewable energy in transport","0,6"
"2007","Belgium","Percentage","Share of renewable energy in electricity","3,6"
"2007","Belgium","Percentage","Share of renewable energy in heating and cooling","4,5"
"2007","Bulgaria","Percentage","Share of renewable energy in gross final energy consumption","9,2"
"2007","Bulgaria","Percentage","Share of renewable energy in transport","0,9"
"2007","Bulgaria","Percentage","Share of renewable energy in electricity","9,4"
"2007","Bulgaria","Percentage","Share of renewable energy in heating and cooling","13,9"
"2007","Czechia","Percentage","Share of renewable energy in gross final energy consumption","8,0"
"2007","Czechia","Percentage","Share of renewable energy in transport","1,4"
"2007","Czechia","Percentage","Share of renewable energy in electricity","4,6"
"2007","Czechia","Percentage","Share of renewable energy in heating and cooling","12,4"
"2007","Denmark","Percentage","Share of renewable energy in gross final energy consumption","17,8"
"2007","Denmark","Percentage","Share of renewable energy in transport","0,5"
"2007","Denmark","Percentage","Share of renewable energy in electricity","25,0"
"2007","Denmark","Percentage","Share of renewable energy in heating and cooling","26,9"
"2007","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in gross final energy consumption","9,1"
"2007","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in transport","7,5"
"2007","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in electricity","13,6"
"2007","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in heating and cooling","8,4"
"2007","Estonia","Percentage","Share of renewable energy in gross final energy consumption","17,1"
"2007","Estonia","Percentage","Share of renewable energy in transport","0,2"
"2007","Estonia","Percentage","Share of renewable energy in electricity","1,5"
